source,target
131,281
353,117
139,54
109,269
136,422
279,355
116,103
401,97
327,388
59,172
101,380
122,270
365,70
233,272
396,217
352,377
1,73
337,65
436,345
196,368
21,56
285,199
395,20
312,30
220,306
406,5
317,403
255,163
244,222
145,80
271,121
227,415
2,393
254,340
258,398
29,318
209,76
294,9
400,427
87,25
146,384
200,191
303,251
40,158
328,249
299,378
331,250
104,314
141,111
407,280
4,215
130,32
36,277
124,51
11,207
245,69
392,114
115,381
208,310
387,31
151,243
185,144
178,105
81,358
408,253
413,304
302,246
46,153
44,175
409,374
155,433
242,194
154,389
91,173
291,362
123,421
129,379
275,62
322,189
325,148
320,15
264,417
205,77
187,366
170,334
168,120
85,386
273,93
78,230
394,171
411,26
423,83
346,181
133,338
371,50
169,213
63,166
152,343
13,432
226,203
361,183
197,34
33,326
319,402
89,373
323,238
176,128
383,53
55,221
99,88
108,430
292,431
60,296
349,293
143,342
82,216
287,288
6,286
94,219
125,360
336,309
354,86
316,410
49,382
212,84
372,28
429,370
241,32
18,190
184,248
356,412
332,8
195,367
37,19
414,96
397,161
102,100
138,106
193,24
282,23
214,135
278,43
363,404
201,137
375,274
359,261
224,180
434,98
192,419
210,315
211,52
164,300
435,223
0,57
165,385
174,74
297,3
177,257
66,38
348,364
347,14
92,305
27,390
298,157
160,147
7,179
416,110
202,228
393,351
252,142
140,308
182,75
67,265
339,12
239,107
16,162
313,284
234,289
333,405
72,335
90,39
424,48
58,68
236,126
307,188
268,311
341,350
262,198
357,218
113,112
301,295
324,235
17,306
266,150
391,61
159,376
330,260
127,35
42,156
186,134
276,231
71,206
225,229
321,369
45,247
425,256
267,263
428,132
149,418
329,290
240,420
167,232
344,10
426,22
399,47
283,41
119,95
204,64
118,237
79,259
