source,target
17164,13821
5163,11107
5067,11562
3521,6956
12250,1976
10734,902
1425,12177
9646,3487
8375,3705
2291,2698
15421,4179
13299,15849
1079,15307
11404,6405
3144,15697
11681,6304
8,9886
7325,10939
12954,2311
15653,4145
6655,13100
9374,10212
11802,11719
5057,6533
581,5051
14738,4316
7249,10717
2838,6819
11277,5566
5746,1323
16937,12704
4871,17249
14068,17205
13648,5070
10381,8546
74,5080
2719,1314
6391,1144
8617,16615
14335,807
3612,4195
16772,15975
16992,13632
13076,7893
835,16900
12630,971
15979,4951
8905,14830
7922,6542
4236,5012
2180,16370
12231,3787
98,8647
15464,14529
2194,16280
3866,998
10208,3537
5666,15015
12427,2925
12849,14136
5755,6928
9343,1494
1574,11075
6668,7375
6381,3893
3980,9403
1861,12004
13083,9027
1227,2628
2102,16081
9031,4282
10336,522
14438,1648
15387,16682
11546,3059
334,10688
16580,10661
5004,13113
2293,2668
2969,16621
6973,5915
14744,1946
5360,1315
10180,16063
10145,4090
6912,17049
6692,9617
3938,13225
5457,14322
8536,8005
6387,69
6419,16403
7346,3700
11149,5052
943,4413
12333,565
12039,15562
2554,9657
7617,9706
3811,781
3058,4765
529,13052
1190,17285
481,11976
3551,2007
9453,622
14502,16578
5249,3367
10922,582
5879,11022
3858,5180
6112,14045
3375,6118
14930,15893
15513,4077
6670,1669
8714,10429
11915,11537
16658,11370
6145,7571
3002,8312
4116,1688
14836,14004
5489,12246
10241,13205
14984,8690
7558,3077
11427,3787
11140,16496
10495,11280
17108,2105
13830,7606
8063,10634
105,11153
7527,5616
8545,11220
14320,12165
5724,9990
13486,9778
13277,8685
4838,4635
2884,3352
11713,5291
7011,13434
7417,6077
3054,14937
16809,6939
12946,6875
12392,7095
1661,8322
1662,5494
428,7225
368,1393
13889,12783
15559,8512
13424,4476
1856,1117
467,4049
12046,2260
9501,9545
17085,10987
3593,271
1178,13967
13735,414
12305,14418
4429,2631
5328,15546
5329,5943
17205,1969
13642,381
15503,7234
9107,4480
1279,12572
6217,7616
7096,25
15185,16650
